                                                     Statistics
CLub Name       Location        Matches Played       Wins       Defeats    Draws       Goals Received       Goals Scored         Points     
UFC             Aussie          83                   33         31         19          235                  295                  85         
Barcelona       England         114                  44         32         38          292                  267                  126        
Madirid         German          62                   28         29         5           177                  177                  61         
Argentina       Argentina       78                   36         16         26          138                  173                  98         
Prutugal        Italy           33                   18         12         3           84                   72                   39         
Liverpool       England         38                   11         14         13          56                   67                   35         
Manchester      UEFA            66                   48         6          12          18                   32                   108        
Czez            Brazil          70                   8          8          54          85                   15                   70         
Arsenal         England         57                   6          6          45          7                    19                   57         
Leeds           UK              12                   5          6          1           5                    8                    11         
Fulham          Brazil          62                   5          56         1           47                   11                   11         
West            California      14                   5          7          2           11                   2                    12         
Evertom         Greenland       20                   5          6          9           19                   14                   19         
NewCastle       Netherland      17                   5          7          5           7                    10                   15         
